filename,note,frequency_hz,duration_s,seed,has_harmonics,num_harmonics,harmonic_decay,has_vibrato,vibrato_rate_hz,vibrato_depth_cents,snr_db,created_utc
C3.wav,C3,130.81,1.0,12345,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.831739
C#3.wav,C#3,138.59,1.0,12346,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.840957
D3.wav,D3,146.83,1.0,12347,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.850059
D#3.wav,D#3,155.56,1.0,12348,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.860347
E3.wav,E3,164.81,1.0,12349,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.869543
F3.wav,F3,174.61,1.0,12350,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.877673
F#3.wav,F#3,185.0,1.0,12351,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.885591
G3.wav,G3,196.0,1.0,12352,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.894584
G#3.wav,G#3,207.65,1.0,12353,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.904652
A3.wav,A3,220.0,1.0,12354,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.912463
A#3.wav,A#3,233.08,1.0,12355,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.922157
B3.wav,B3,246.94,1.0,12356,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.932073
C4.wav,C4,261.63,1.0,12357,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.939851
C#4.wav,C#4,277.18,1.0,12358,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.948538
D4.wav,D4,293.66,1.0,12359,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.960451
D#4.wav,D#4,311.13,1.0,12360,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.972095
E4.wav,E4,329.63,1.0,12361,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.982026
F4.wav,F4,349.23,1.0,12362,False,0,0,True,6.0,100.0,,2025-09-17T05:44:45.991131
F#4.wav,F#4,369.99,1.0,12363,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.002205
G4.wav,G4,392.0,1.0,12364,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.011335
G#4.wav,G#4,415.3,1.0,12365,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.021540
A4.wav,A4,440.0,1.0,12366,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.029658
A#4.wav,A#4,466.16,1.0,12367,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.040654
B4.wav,B4,493.88,1.0,12368,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.051683
C5.wav,C5,523.25,1.0,12369,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.062627
C#5.wav,C#5,554.37,1.0,12370,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.072897
D5.wav,D5,587.33,1.0,12371,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.082430
D#5.wav,D#5,622.25,1.0,12372,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.092769
E5.wav,E5,659.25,1.0,12373,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.101767
F5.wav,F5,698.46,1.0,12374,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.110284
F#5.wav,F#5,739.99,1.0,12375,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.119249
G5.wav,G5,783.99,1.0,12376,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.126390
G#5.wav,G#5,830.61,1.0,12377,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.136426
A5.wav,A5,880.0,1.0,12378,False,0,0,True,6.0,100.0,,2025-09-17T05:44:46.150430
